cde,section,label,description,synonyms
TFDD,GROWTH,"Temp.factor,dev",Temperature factor for development (0-1),
TKILL,GROWTH,Pl death tmp oC,Temperature for plant death (oC),
TLA_1,GROWTH,Leaf area stk 1,"Total green+dead leaf area, primary stalk only (cm2)",
TLAG1,GROWTH,Tiller area gr,Tiller leaf area expansion,
TLFWT,GROWTH,Total till lf w,Total leaf weight of tiller,
TLW_1,GROWTH,Leaf wt stalk 1,Total green+dead leaf+sheath prim stalk (g [dm]/stalk),
TPLA,GROWTH,Total till lf a,Total tiller leaf area (growth),
TPLAG,GROWTH,Tiller area gr,Tiller leaf area growth,
TPSM,GROWTH,Tillers no #/m2,Tiller number (no/m2),
TRAD,GROWTH,Trash DM kg/ha,Trash weight (kg [dm]/ha),
TSTMWT,GROWTH,Total till st w,Total stem weight of tiller,
TT,GROWTH,Thermal time,Daily thermal (oC.d),
TWUPD,GROWTH,Pot H2O uptake,Potential water uptake (mm/d),
UWAD,GROWTH,Tuber kg dm/ha,Tuber dry weight (kg [dm]/ha),
UYAD,GROWTH,Tuber Mg fm/ha,Tuber fresh weight (Mg [fm]/ha),
VCN%,GROWTH,Veg crit N conc,Vegetative critical N conc (%),
VMN%,GROWTH,Veg min N conc,Vegetative minimum N conc (%),
VRNFD,GROWTH,Vernalize fac.,Vernalization factor (0-1),
VWAD,GROWTH,Veg wt kg/ha,Vegetative weight (stem+leaf)(kg/ha),
WAVRD,GROWTH,H2O av to dm,Water available to demand ratio (#),
WFGD,GROWTH,"H20 factor,gr",Water factor for growth (0-1),
WFPD,GROWTH,"H20 factor,ph",Water factor for photosynthesis (0-1),
WFTID,GROWTH,"H2O factor, til",Water factor tillering (0-1),
WLVG,GROWTH,Green lf kg/ha,Dry weight of green leaves (kg/ha),
WSGD,GROWTH,"H20 stress,ex",Water stress - expansion/partioning/development (0-1),
WSPAV,GROWTH,H2O stress (av),"Water stress (avg) - photosynthesis (0-1,0=none)",
WSPD,GROWTH,"H20 stress,ph",Water stress - photosynthesis (0-1),
WUPRD,GROWTH,H2O upt to dem,Water uptake to demand ratio (#),
AMLC,NITROGEN,NH3vol kgN/ha,Cumulative ammonia volatilization (kg [N]/ha),
AMLS,NITROGEN,NH3vol kgN/ha/d,Ammonia volatilization rate (kg [N]/(ha.day)),
CNAD,NITROGEN,Crop N kg/ha,Tops N (kg/ha),
CPROT,NITROGEN,Crude prot %,Crude protein (forage herbage) %,
GN%D,NITROGEN,Grain N %,Grain N concentration (%),
GNAD,NITROGEN,Grain N kg/ha,Grain N (kg/ha),
FRN%D,NITROGEN,Fruit N %,Fruit N (%),
FRNAD,NITROGEN,Fruit N kg/ha,Fruit N (kg/ha),
LCNF,NITROGEN,Leaf Crit N Fac,Leaf critical N factor (ratio),
lfshthN,NITROGEN,Sheath N kg/ha,"Weight of nitrogen in leaf sheath, kg/ha",
LN%RD,NITROGEN,LeafN% relative,Leaf tissue relative (to critical) N conc. (%),
LNAD,NITROGEN,Leaf N kg/ha,Leaf N (kg/ha),
N2EC,NITROGEN,Cum N2 emitted,Cumulative N2 emissions from soil (kg[N]/ha),
N2ED,NITROGEN,N2 emitted kg,Daily N2 emissions from soil (kg[N]/ha),
N2GED,NITROGEN,N2 emitted g,Daily N2 emissions from soil (g[N]/ha),
N2FLC,NITROGEN,Cum N2 flux k/h,"Cumulative N2 flux, soil profile (kg[N]/ha)",
N2FLD,NITROGEN,Day N2 flux g/h,"Daily N2 flux, soil profile (g[N]/ha/d)",
N2F10,NITROGEN,N2 flux lyr 10,"Daily N2 flux, soil layer 10(g[N]/ha)",
N2F1D,NITROGEN,N2 flux layer 1,"Daily N2 flux, soil layer 1 (g[N]/ha)",
N2F2D,NITROGEN,N2 flux layer 2,"Daily N2 flux, soil layer 2 (g[N]/ha)",
N2F3D,NITROGEN,N2 flux layer 3,"Daily N2 flux, soil layer 3 (g[N]/ha)",
N2F4D,NITROGEN,N2 flux layer 4,"Daily N2 flux, soil layer 4 (g[N]/ha)",
N2F5D,NITROGEN,N2 flux layer 5,"Daily N2 flux, soil layer 5 (g[N]/ha)",
N2F6D,NITROGEN,N2 flux layer 6,"Daily N2 flux, soil layer 6 (g[N]/ha)",
N2F7D,NITROGEN,N2 flux layer 7,"Daily N2 flux, soil layer 7 (g[N]/ha)",
N2F8D,NITROGEN,N2 flux layer 8,"Daily N2 flux, soil layer 8 (g[N]/ha)",
N2F9D,NITROGEN,N2 flux layer 9,"Daily N2 flux, soil layer 9 (g[N]/ha)",
NAPC,NITROGEN,N Applied kg/ha,Inorganic N applied (kg/ha),
NFact1,NITROGEN,Nstress (0-1),Nstress on grain N potential (0-1),
NFact2,NITROGEN,Nstress (0-1),Nstress photosynthesis (0-1),
NFact3,NITROGEN,Nstress (0-1),"Nstress on leaf senes., grain N conc. & cell exp (0-1)",
NFact4,NITROGEN,Nstress (0-1),Nstress on grain number (0-1),
NDNC,NITROGEN,Denitrification,Cumulative denitrification (kg [N]/ha),
NDND,NITROGEN,Day denit g/ha,"Daily denitrification, soil profile (g[N]/ha/d)",
NDN10,NITROGEN,Denit layer 10,"Daily denitrification, soil layer 10(g[N]/ha)",
NDN1D,NITROGEN,Denit layer 1,"Daily denitrification, soil layer 1 (g[N]/ha)",
NDN2D,NITROGEN,Denit layer 2,"Daily denitrification, soil layer 2 (g[N]/ha)",
NDN3D,NITROGEN,Denit layer 3,"Daily denitrification, soil layer 3 (g[N]/ha)",
NDN4D,NITROGEN,Denit layer 4,"Daily denitrification, soil layer 4 (g[N]/ha)",
NDN5D,NITROGEN,Denit layer 5,"Daily denitrification, soil layer 5 (g[N]/ha)",
NDN6D,NITROGEN,Denit layer 6,"Daily denitrification, soil layer 6 (g[N]/ha)",
NDN7D,NITROGEN,Denit layer 7,"Daily denitrification, soil layer 7 (g[N]/ha)",
NDN8D,NITROGEN,Denit layer 8,"Daily denitrification, soil layer 8 (g[N]/ha)",
NDN9D,NITROGEN,Denit layer 9,"Daily denitrification, soil layer 9 (g[N]/ha)",
NFXC,NITROGEN,N Fixed kg/ha,N fixed (kg/ha),
NFXD,NITROGEN,N Fixed kg/ha.d,N fixation rate (kg/(ha.day)),
NH10,NITROGEN,NH4  layer 10,"NH4, soil layer 10(mg[N]/kg[soil])",
NH1D,NITROGEN,NH4  layer 1,"NH4, soil layer 1 (mg[N]/kg[soil])",
NH2D,NITROGEN,NH4  layer 2,"NH4, soil layer 2 (mg[N]/kg[soil])",
NH3D,NITROGEN,NH4  layer 3,"NH4, soil layer 3 (mg[N]/kg[soil])",
NH4D,NITROGEN,NH4  layer 4,"NH4, soil layer 4 (mg[N]/kg[soil])",
NH5D,NITROGEN,NH4  layer 5,"NH4, soil layer 5 (mg[N]/kg[soil])",
NH6D,NITROGEN,NH4  layer 6,"NH4, soil layer 6 (mg[N]/kg[soil])",
NH7D,NITROGEN,NH4  layer 7,"NH4, soil layer 7 (mg[N]/kg[soil])",
NH8D,NITROGEN,NH4  layer 8,"NH4, soil layer 8 (mg[N]/kg[soil])",
NH9D,NITROGEN,NH4  layer 9,"NH4, soil layer 9 (mg[N]/kg[soil])",
NHTD,NITROGEN,Total NH4 kg/ha,Total soil NH4 (kg [N]/ha),
NI10,NITROGEN,NO3 layer 10,"NO3, soil layer 10(mg[N]/kg[soil])",
NI1D,NITROGEN,NO3 layer 1,"NO3, soil layer 1 (mg[N]/kg[soil])",
NI2D,NITROGEN,NO3 layer 2,"NO3, soil layer 2 (mg[N]/kg[soil])",
NI3D,NITROGEN,NO3 layer 3,"NO3, soil layer 3 (mg[N]/kg[soil])",
NI4D,NITROGEN,NO3 layer 4,"NO3, soil layer 4 (mg[N]/kg[soil])",
NI5D,NITROGEN,NO3 layer 5,"NO3, soil layer 5 (mg[N]/kg[soil])",
NI6D,NITROGEN,NO3 layer 6,"NO3, soil layer 6 (mg[N]/kg[soil])",
NI7D,NITROGEN,NO3 layer 7,"NO3, soil layer 7 (mg[N]/kg[soil])",
NI8D,NITROGEN,NO3 layer 8,"NO3, soil layer 8 (mg[N]/kg[soil])",
NI9D,NITROGEN,NO3 layer 9,"NO3, soil layer 9 (mg[N]/kg[soil])",
NIAD,NITROGEN,Tot soil N kg/ha,Total soil NO3+NH4 (kg [N]/ha),
NIMC,NITROGEN,N Immobilized,Cumulative N immobilization (kg [N]/ha),
NITC,NITROGEN,Nitrification,Cumulative nitrification (kg [N]/ha),
NITRD,NITROGEN,Daily nitrif,"Daily nitrification, soil profile (g[N]/ha/d)",
NIT10,NITROGEN,Nitrif layer 10,"Daily nitrification, soil layer 10(g[N]/ha)",
NIT1D,NITROGEN,Nitrif layer 1,"Daily nitrification, soil layer 1 (g[N]/ha)",
NIT2D,NITROGEN,Nitrif layer 2,"Daily nitrification, soil layer 2 (g[N]/ha)",
NIT3D,NITROGEN,Nitrif layer 3,"Daily nitrification, soil layer 3 (g[N]/ha)",
NIT4D,NITROGEN,Nitrif layer 4,"Daily nitrification, soil layer 4 (g[N]/ha)",
NIT5D,NITROGEN,Nitrif layer 5,"Daily nitrification, soil layer 5 (g[N]/ha)",
NIT6D,NITROGEN,Nitrif layer 6,"Daily nitrification, soil layer 6 (g[N]/ha)",
NIT7D,NITROGEN,Nitrif layer 7,"Daily nitrification, soil layer 7 (g[N]/ha)",
NIT8D,NITROGEN,Nitrif layer 8,"Daily nitrification, soil layer 8 (g[N]/ha)",
NIT9D,NITROGEN,Nitrif layer 9,"Daily nitrification, soil layer 9 (g[N]/ha)",
NITD,NITROGEN,Total NO3 kg/ha,Total soil NO3 (kg [N]/ha),
NLCD,NITROGEN,N Leached kg/ha,Daily N leached (kg [N]/ha/d),
NLCC,NITROGEN,N Leached kg/ha,Cumulative N leached (kg [N]/ha),
NMNC,NITROGEN,N Mineralize,Cumulative N mineralization (kg [N]/ha),
NNMNC,NITROGEN,Net N mineraliz,Cumulative net N mineralization (miner - immob),
NOAD,NITROGEN,Organic N kg/ha,Organic N in soil (kg [N]/ha),
NOEC,NITROGEN,Cum NO emitted,Cumulative NO emissions from soil (kg[N]/ha),
NOED,NITROGEN,NO emitted kg,Daily NO emissions from soil (kg[N]/ha),
NOGED,NITROGEN,NO emitted g,Daily NO emissions from soil (g[N]/ha),
NOFLC,NITROGEN,Cum NO flux k/h,"Cumulative NO flux, soil profile (kg[N]/ha)",
NOFLD,NITROGEN,Day NO flux g/h,"Daily NO flux, soil profile (g[N]/ha/d)",
NOF10,NITROGEN,NO flux lyr 10,"Daily NO flux, soil layer 10(g[N]/ha)",
NOF1D,NITROGEN,NO flux layer 1,"Daily NO flux, soil layer 1 (g[N]/ha)",
NOF2D,NITROGEN,NO flux layer 2,"Daily NO flux, soil layer 2 (g[N]/ha)",
NOF3D,NITROGEN,NO flux layer 3,"Daily NO flux, soil layer 3 (g[N]/ha)",
NOF4D,NITROGEN,NO flux layer 4,"Daily NO flux, soil layer 4 (g[N]/ha)",
NOF5D,NITROGEN,NO flux layer 5,"Daily NO flux, soil layer 5 (g[N]/ha)",
NOF6D,NITROGEN,NO flux layer 6,"Daily NO flux, soil layer 6 (g[N]/ha)",
NOF7D,NITROGEN,NO flux layer 7,"Daily NO flux, soil layer 7 (g[N]/ha)",
NOF8D,NITROGEN,NO flux layer 8,"Daily NO flux, soil layer 8 (g[N]/ha)",
NOF9D,NITROGEN,NO flux layer 9,"Daily NO flux, soil layer 9 (g[N]/ha)",
NT10,NITROGEN,InorgN layer 10,"Total inorganic N, soil layer 10(mg[N]/kg[soil])",
NT1D,NITROGEN,InorgN layer 1,"Total inorganic N, soil layer 1 (mg[N]/kg[soil])",
NT2D,NITROGEN,InorgN layer 2,"Total inorganic N, soil layer 2 (mg[N]/kg[soil])",
NT3D,NITROGEN,InorgN layer 3,"Total inorganic N, soil layer 3 (mg[N]/kg[soil])",
NT4D,NITROGEN,InorgN layer 4,"Total inorganic N, soil layer 4 (mg[N]/kg[soil])",
NT5D,NITROGEN,InorgN layer 5,"Total inorganic N, soil layer 5 (mg[N]/kg[soil])",
NT6D,NITROGEN,InorgN layer 6,"Total inorganic N, soil layer 6 (mg[N]/kg[soil])",
NT7D,NITROGEN,InorgN layer 7,"Total inorganic N, soil layer 7 (mg[N]/kg[soil])",
NT8D,NITROGEN,InorgN layer 8,"Total inorganic N, soil layer 8 (mg[N]/kg[soil])",
NT9D,NITROGEN,InorgN layer 9,"Total inorganic N, soil layer 9 (mg[N]/kg[soil])",
NUAC,NITROGEN,N Uptake kg/ha,"N uptake, cumulative (kg [N]/ha)",
NUAD,NITROGEN,N Uptake kg/ha,N uptake (kg [N]/ha),
NUPC,NITROGEN,N Uptake kg/ha,N uptake (kg [N]/ha),
NURTD,NITROGEN,Urea-N kg/ha,Total soil urea (kg [N]/ha),
OXRN,NITROGEN,Oxnitr kgN/ha/d,Ox Layer Nitrif Rt (kg [N]/ha/d),
QNAD,NITROGEN,Stolon N kg/ha,Stolon N (kg/ha),
QN%D,NITROGEN,Stolon N %,Stolon N concentration (%),
R#AC,NITROGEN,Res Applic #,Number of organic matter applications,
RADN,NITROGEN,Solar@noon W/m2,Solar radiation at noon (W/m2),
RCNF,NITROGEN,Roots Crit N Fc,Roots critical [N] factor (ratio),
RN%CD,NITROGEN,RootN% critical,Root tissue critical N conc. (%),
RN%D,NITROGEN,Root N %,Root N concentration (%),
RN%LD,NITROGEN,Root N% minimum,Root tissue minimum N conc. (%),
RN%RD,NITROGEN,RootN% relative,Root tissue relative (to critical) N conc. (%),
RNUA,NITROGEN,NUptake kg/ha.d,N uptake (kg [N]/(ha.d)),
ROOTN,NITROGEN,Root N (kg/ha),"Weight of nitrogen in roots, kg/ha",
RSNAD,NITROGEN,Reserve N kg/ha,Reserve N (kg/ha),
RSVN,NITROGEN,Reserve N g/p,Reserve N (g/p),
SCNF,NITROGEN,Stem Crit N Fac,Stem critical N factor (ratio),
SENC0,NITROGEN,Sen C to lit,Senesced C added to litter (kg/(ha.d)),
SENCS,NITROGEN,Sen C to soil,Senesced C added to soil (kg/(ha.d)),
SENL0,NITROGEN,Sen lign to lit,Senesced lignin added to litter (kg/(ha.d)),
SENLS,NITROGEN,Sen lign to sl,Senesced lignin added to soil (kg/(ha.d)),
SENN0,NITROGEN,Sen N to litter,Senesced N added to litter (kg/(ha.d)),
SENNS,NITROGEN,Sen N to soil,Senesced N added to soil (kg/(ha.d)),
SENNT,NITROGEN,Sen N kg/ha.d,Senesced N added to litter+soil (kg/(ha.d)),
SENWT,NITROGEN,Sen wt kg/ha.d,Senesced wt added to litter+soil (kg/(ha.d)),
SHND,NITROGEN,Shell N %,Shell N concentration (%),
SHNAD,NITROGEN,Shell N kg/ha,Shell N (kg/ha),
SN%D,NITROGEN,Stem N %,Stem N concentration (%),
SN%RD,NITROGEN,ShootN% relativ,Shoot tissue relative (to critical) N conc. (%),
SNAD,NITROGEN,Stem N kg/ha,Stem N (kg/ha),
SNNPD,NITROGEN,Dead N kg/ha,N in dead material retained on plant (kg[N]/ha),
SNWPD,NITROGEN,Dead wt kg/ha,Dead material retained on plant (kg [dm]/ha),
TUNA,NITROGEN,Total N kg/ha,Tuber+stem+leaf N (kg/ha),
UN%D,NITROGEN,Tuber N %,Tuber N concentration (%),
UNAD,NITROGEN,Tuber N kg/ha,Tuber N (kg/ha),
VN%D,NITROGEN,Veg N %,Veg (stem+leaf) N concentration (%),
VNAD,NITROGEN,Vege N kg/ha,Veg (stem+leaf) N (kg/ha),
DA3D,WATER,Daylength h,Daylength (h;3 deg basis),
DAYD,WATER,Daylength h,Daylength (h;sunrise to sunset),
DRNC,WATER,Drainage Mm,Cumulative drainage (mm),
DTR,WATER,Shortwave RAD,Daily shortwave radiation  (J/(m2.d)),
DTWT,WATER,Water table cm,Water table depth (cm),
DTWTM,WATER,Mgmt wat table,Managed water table depth (user input) (cm),
EFAA,WATER,Flood evap mm/d,Avg flood evaporation (mm/d),
EMAA,WATER,Mulch EVAP mm/d,Average mulch evaporation (mm/d),
EMAC,WATER,Mulch EVAP mm,Cumulative mulch evaporation (mm),
Enit,WATER,Evap@midnt mm/h,Soil evaporation rate at midnight (mm/h),
Enoon,WATER,Evap@noon mm/h,Soil evaporation rate at noon (mm/h),
EOAA,WATER,Pot ET mm/d,Avg pot.evapotranspiration (mm/d),
EOAC,WATER,Pot ET mm,Cumulative potential evapotranspiration (mm),
EOAD,WATER,Pot ET mm/d,Potential evapotranspiration (mm/d),
EOPA,WATER,Pot transpir,Avg pot. transpiration (mm/d),
EOPD,WATER,Pot transpir,Potential transpiration (mm/d),
EOSA,WATER,Pot soil evap,Average potential soil evaporation per day  (mm/day),
EPAA,WATER,Transpir mm/d,Avg plant transpiration (mm/d),
EPAC,WATER,Transpiration,Cumulative transpiration (mm),
EPAD,WATER,Transpir mm/d,Plant transpiration (mm/d),
ES10D,WATER,Evap layer 10,"Soil evaporation, layer 10(mm/d)",
ES1D,WATER,Evap layer 1,"Soil evaporation, layer 1 (mm/d)",
ES2D,WATER,Evap layer 2,"Soil evaporation, layer 2 (mm/d)",
ES3D,WATER,Evap layer 3,"Soil evaporation, layer 3 (mm/d)",
ES4D,WATER,Evap layer 4,"Soil evaporation, layer 4 (mm/d)",
ES5D,WATER,Evap layer 5,"Soil evaporation, layer 5 (mm/d)",
ES6D,WATER,Evap layer 6,"Soil evaporation, layer 6 (mm/d)",
ES7D,WATER,Evap layer 7,"Soil evaporation, layer 7 (mm/d)",
ES8D,WATER,Evap layer 8,"Soil evaporation, layer 8 (mm/d)",
ES9D,WATER,Evap layer 9,"Soil evaporation, layer 9 (mm/d)",
ESAA,WATER,Soil EVAP mm/d,Avg soil evaporation (mm/d),
ESAC,WATER,Soil EVAP mm,Cumulative soil evaporation (mm),
ESAD,WATER,Soil EVAP mm/d,Soil evaporation (mm/d),
ETAA,WATER,Evapotrans mm/d,Avg evapotranspiration (mm/d),
ETAC,WATER,Evapotrans mm,Cumulative evapotranspiration (mm),
ETAD,WATER,Evapotrans mm/d,Evapotranspiration (mm/d),
ETnit,WATER,ET@midnite mm/h,Evapotranspiration rate at midnight (mm/h),
ETNOON,WATER,ET@noon mm/h,Evapotranspiration rate at noon (mm/h),
H2OA,WATER,H2O in root zn,Water available in root zone (mm),
IR#C,WATER,Irrigation #,Irrigation applications (no),
IRRC,WATER,Irrig effect mm,Cumulative effective irrigation (mm),
IRRAC,WATER,Irrig apply mm,Cumulative applied irrigation (includes losses) (mm),
KCAA,WATER,Kc,FAO-56 single crop coefficient (Kc=ETAA/REFA),
KBSA,WATER,Kcb*Ks,FAO-56 basal crop coef * stress coef (Kcb*Ks=EPAA/REFA),
KEAA,WATER,Ke,FAO-56 evaporation coefficient (Ke=(ESAA+EFAA+EMAA)/REF,
LATFC,WATER,Lateral flow mm,Subsurface Lateral flow to maintain water table (mm),
MCFD,WATER,Mulch coverage,Fraction of soil covered by mulch,
MDEPD,WATER,Mulch thick cm,Thickness of mulch layer (cm),
MWAD,WATER,Mulch mass k/h,Mass of mulch layer (kg/ha),
MWTD,WATER,Mulch water mm,Water stored in mulch layer (mm),
PREC,WATER,Precipitation,Cumulative precipitation (mm),
REFA,WATER,Reference ET mm,ASCE standardized reference ET (grass or alfalfa),
ROFC,WATER,Cum Runoff mm,Cumulative runoff (mm),
ROFD,WATER,Surface runoff,Total daily surface runoff (mm/d),
ROSD,WATER,Sat surf runoff,Daily surface runoff due to sl saturation excess (mm/d),
SEDM,WATER,Sediment LOSS,Sediment loss,
SNOWD,WATER,Snow accum (mm),Snow accumulation (mm water),
SRAA,WATER,SRAD MJ/m2.day,Avg solar radiation (MJ/(m2.day)),
SW1D,WATER,SWC layer 1,"Soil water, soil layer 1 (cm3/cm3)",
SW2D,WATER,SWC layer 2,"Soil water, soil layer 2 (cm3/cm3)",
SW3D,WATER,SWC layer 3,"Soil water, soil layer 3 (cm3/cm3)",
SW4D,WATER,SWC layer 4,"Soil water, soil layer 4 (cm3/cm3)",
SW5D,WATER,SWC layer 5,"Soil water, soil layer 5 (cm3/cm3)",
SW6D,WATER,SWC layer 6,"Soil water, soil layer 6 (cm3/cm3)",
SW7D,WATER,SWC layer 7,"Soil water, soil layer 7 (cm3/cm3)",
SW8D,WATER,SWC layer 8,"Soil water, soil layer 8 (cm3/cm3)",
SW9D,WATER,SWC layer 9,"Soil water, soil layer 9 (cm3/cm3)",
SW10D,WATER,SWC layer10,"Soil water, soil layer 10 (cm3/cm3)",
SW11D,WATER,SWC layer11,"Soil water, soil layer 11 (cm3/cm3)",
SW12D,WATER,SWC layer12,"Soil water, soil layer 12 (cm3/cm3)",
SW13D,WATER,SWC layer13,"Soil water, soil layer 13 (cm3/cm3)",
SW14D,WATER,SWC layer14,"Soil water, soil layer 14 (cm3/cm3)",
SW15D,WATER,SWC layer15,"Soil water, soil layer 15 (cm3/cm3)",
SW16D,WATER,SWC layer16,"Soil water, soil layer 16 (cm3/cm3)",
SW17D,WATER,SWC layer17,"Soil water, soil layer 17 (cm3/cm3)",
SW18D,WATER,SWC layer18,"Soil water, soil layer 18 (cm3/cm3)",
SW19D,WATER,SWC layer19,"Soil water, soil layer 19 (cm3/cm3)",
SW20D,WATER,SWC layer20,"Soil water, soil layer 20 (cm3/cm3)",
LL1D,WATER,SWC LL layer 1,"Soil water at Lower Limit, soil layer 1 (cm3/cm3)",
LL2D,WATER,SWC LL layer 2,"Soil water at Lower Limit, soil layer 2 (cm3/cm3)",
LL3D,WATER,SWC LL layer 3,"Soil water at Lower Limit, soil layer 3 (cm3/cm3)",
LL4D,WATER,SWC LL layer 4,"Soil water at Lower Limit, soil layer 4 (cm3/cm3)",
LL5D,WATER,SWC LL layer 5,"Soil water at Lower Limit, soil layer 5 (cm3/cm3)",
LL6D,WATER,SWC LL layer 6,"Soil water at Lower Limit, soil layer 6 (cm3/cm3)",
LL7D,WATER,SWC LL layer 7,"Soil water at Lower Limit, soil layer 7 (cm3/cm3)",
LL8D,WATER,SWC LL layer 8,"Soil water at Lower Limit, soil layer 8 (cm3/cm3)",
LL9D,WATER,SWC LL layer 9,"Soil water at Lower Limit, soil layer 9 (cm3/cm3)",
LL10D,WATER,SWC LL layer10,"Soil water at Lower Limit, soil layer 10 (cm3/cm3)",
LL11D,WATER,SWC LL layer11,"Soil water at Lower Limit, soil layer 11 (cm3/cm3)",
LL12D,WATER,SWC LL layer12,"Soil water at Lower Limit, soil layer 12 (cm3/cm3)",
LL13D,WATER,SWC LL layer13,"Soil water at Lower Limit, soil layer 13 (cm3/cm3)",
LL14D,WATER,SWC LL layer14,"Soil water at Lower Limit, soil layer 14 (cm3/cm3)",
LL15D,WATER,SWC LL layer15,"Soil water at Lower Limit, soil layer 15 (cm3/cm3)",
LL16D,WATER,SWC LL layer16,"Soil water at Lower Limit, soil layer 16 (cm3/cm3)",
LL17D,WATER,SWC LL layer17,"Soil water at Lower Limit, soil layer 17 (cm3/cm3)",
LL18D,WATER,SWC LL layer18,"Soil water at Lower Limit, soil layer 18 (cm3/cm3)",
LL19D,WATER,SWC LL layer19,"Soil water at Lower Limit, soil layer 19 (cm3/cm3)",
LL20D,WATER,SWC LL layer20,"Soil water at Lower Limit, soil layer 20 (cm3/cm3)",
DUL1D,WATER,SWC DUL layer 1,"Soil water at D. Upper Limit, soil layer 1 (cm3/cm3)",
DUL2D,WATER,SWC DUL layer 2,"Soil water at D. Upper Limit, soil layer 2 (cm3/cm3)",
DUL3D,WATER,SWC DUL layer 3,"Soil water at D. Upper Limit, soil layer 3 (cm3/cm3)",
DUL4D,WATER,SWC DUL layer 4,"Soil water at D. Upper Limit, soil layer 4 (cm3/cm3)",
DUL5D,WATER,SWC DUL layer 5,"Soil water at D. Upper Limit, soil layer 5 (cm3/cm3)",
DUL6D,WATER,SWC DUL layer 6,"Soil water at D. Upper Limit, soil layer 6 (cm3/cm3)",
DUL7D,WATER,SWC DUL layer 7,"Soil water at D. Upper Limit, soil layer 7 (cm3/cm3)",
DUL8D,WATER,SWC DUL layer 8,"Soil water at D. Upper Limit, soil layer 8 (cm3/cm3)",
DUL9D,WATER,SWC DUL layer 9,"Soil water at D. Upper Limit, soil layer 9 (cm3/cm3)",
DUL10D,WATER,SWC DUL layer10,"Soil water at D. Upper Limit, soil layer 10 (cm3/cm3)",
DUL11D,WATER,SWC DUL layer11,"Soil water at D. Upper Limit, soil layer 11 (cm3/cm3)",
DUL12D,WATER,SWC DUL layer12,"Soil water at D. Upper Limit, soil layer 12 (cm3/cm3)",
DUL13D,WATER,SWC DUL layer13,"Soil water at D. Upper Limit, soil layer 13 (cm3/cm3)",
DUL14D,WATER,SWC DUL layer14,"Soil water at D. Upper Limit, soil layer 14 (cm3/cm3)",
DUL15D,WATER,SWC DUL layer15,"Soil water at D. Upper Limit, soil layer 15 (cm3/cm3)",
DUL16D,WATER,SWC DUL layer16,"Soil water at D. Upper Limit, soil layer 16 (cm3/cm3)",
DUL17D,WATER,SWC DUL layer17,"Soil water at D. Upper Limit, soil layer 17 (cm3/cm3)",
DUL18D,WATER,SWC DUL layer18,"Soil water at D. Upper Limit, soil layer 18 (cm3/cm3)",
DUL19D,WATER,SWC DUL layer19,"Soil water at D. Upper Limit, soil layer 19 (cm3/cm3)",
DUL20D,WATER,SWC DUL layer20,"Soil water at D. Upper Limit, soil layer 20 (cm3/cm3)",
SAT1D,WATER,SWC SAT layer 1,"Soil water at Saturation, soil layer 1 (cm3/cm3)",
SAT2D,WATER,SWC SAT layer 2,"Soil water at Saturation, soil layer 2 (cm3/cm3)",
SAT3D,WATER,SWC SAT layer 3,"Soil water at Saturation, soil layer 3 (cm3/cm3)",
SAT4D,WATER,SWC SAT layer 4,"Soil water at Saturation, soil layer 4 (cm3/cm3)",
SAT5D,WATER,SWC SAT layer 5,"Soil water at Saturation, soil layer 5 (cm3/cm3)",
SAT6D,WATER,SWC SAT layer 6,"Soil water at Saturation, soil layer 6 (cm3/cm3)",
SAT7D,WATER,SWC SAT layer 7,"Soil water at Saturation, soil layer 7 (cm3/cm3)",
SAT8D,WATER,SWC SAT layer 8,"Soil water at Saturation, soil layer 8 (cm3/cm3)",
SAT9D,WATER,SWC SAT layer 9,"Soil water at Saturation, soil layer 9 (cm3/cm3)",
SAT10D,WATER,SWC SAT layer10,"Soil water at Saturation, soil layer 10 (cm3/cm3)",
SAT11D,WATER,SWC SAT layer11,"Soil water at Saturation, soil layer 11 (cm3/cm3)",
SAT12D,WATER,SWC SAT layer12,"Soil water at Saturation, soil layer 12 (cm3/cm3)",
SAT13D,WATER,SWC SAT layer13,"Soil water at Saturation, soil layer 13 (cm3/cm3)",
SAT14D,WATER,SWC SAT layer14,"Soil water at Saturation, soil layer 14 (cm3/cm3)",
SAT15D,WATER,SWC SAT layer15,"Soil water at Saturation, soil layer 15 (cm3/cm3)",
SAT16D,WATER,SWC SAT layer16,"Soil water at Saturation, soil layer 16 (cm3/cm3)",
SAT17D,WATER,SWC SAT layer17,"Soil water at Saturation, soil layer 17 (cm3/cm3)",
SAT18D,WATER,SWC SAT layer18,"Soil water at Saturation, soil layer 18 (cm3/cm3)",
SAT19D,WATER,SWC SAT layer19,"Soil water at Saturation, soil layer 19 (cm3/cm3)",
SAT20D,WATER,SWC SAT layer20,"Soil water at Saturation, soil layer 20 (cm3/cm3)",
SAT1D,WATER,SWC SAT layer 1,"Soil water at Saturation, soil layer 1 (cm3/cm3)",
SAT2D,WATER,SWC SAT layer 2,"Soil water at Saturation, soil layer 2 (cm3/cm3)",
SAT3D,WATER,SWC SAT layer 3,"Soil water at Saturation, soil layer 3 (cm3/cm3)",
SAT4D,WATER,SWC SAT layer 4,"Soil water at Saturation, soil layer 4 (cm3/cm3)",
SAT5D,WATER,SWC SAT layer 5,"Soil water at Saturation, soil layer 5 (cm3/cm3)",
