RUNNO,TRNO,R#,O#,P#,CropCode,MODEL,EXNAME,TNAM,CultivarCode,WSTA,WYEAR,SoilProfileID,LAT,LONG,ELEV,SDAT,PDAT,EDAT,ADAT,MDAT,HDAT,HYEAR,DWAP,CWAM,HWAM,HWAH,BWAH,PWAM,HWUM,H#AM,H#UM,HIAM,LAIX,EYLDH,FCWAM,FHWAM,HWAHF,FBWAH,FPWAM,IR#M,IRCM,PRCM,ETCM,EPCM,ESCM,ROCM,DRCM,SWXM,NI#M,NICM,NFXM,NUCM,NLCM,NIAM,NMINC,CNAM,GNAM,N2OEM,PI#M,PICM,PUPC,SPAM,KI#M,KICM,KUPC,SKAM,RECM,ONTAM,ONAM,OPTAM,OPAM,OCTAM,OCAM,CO2EM,CH4EM,DMPPM,DMPEM,DMPTM,DMPIM,YPPM,YPEM,YPTM,YPIM,DPNAM,DPNUM,YPNAM,YPNUM,NDCH,TMAXA,TMINA,SRADA,DAYLA,CO2A,PRCP,ETCP,ESCP,EPCP,CropCodeST
1,1,1,0,1,MZ,MZCER048,TOUCAN47,W1F123C434               ,MZ990003,WEATHERS,2023,US02126375,        +048.96,        -102.04,        0,2023001,2023135,2023145,2023196,2023247,2023247,2023,-99,10229,4829,4829,5430,6403,0.236581951,2041,291.587189,0.472097337,1.64153683,-99.0000000,-99,-99,-99,-99,-99,0,0,328,758,215,543,273,9550,501,2,122,0,126,8,11,56,98,73,2.47767806,-99,-99,-99,-99,-99,-99,-99,-99,0,22953,22953,-99,-99,173824,173824,451.593750,4.19490957,67.6495285,18.2361202,47.6149940,-99.0000000,31.9378338,8.60940552,22.4793854,-99.0000000,83.8410416,81.1794205,39.5819664,38.3253975,112,27.3187504,14.0026779,20.6651745,15.1513834,434.000000,151.199982,560.898193,347.438690,214.819046,1,
1,1,1,0,1,MZ,MZCER048,TOUCAN40,W1F123C434               ,MZ990002,WEATHERS,2025,US02126373,        +048.96,        -102.21,        0,2025001,2025135,2025151,2025214,2025300,2025300,2025,-99,7829,3982,3982,3888,4641,0.430717051,924,132.059570,0.508597314,2.02602816,-99.0000000,-99,-99,-99,-99,-99,0,0,498,899,206,692,450,11228,503,2,122,0,120,20,14,66,88,57,4.07587385,-99,-99,-99,-99,-99,-99,-99,-99,0,22036,22036,-99,-99,167071,167071,532.046875,5.58426380,19.2349644,12.0590982,37.9234695,-99.0000000,9.78378201,6.13380861,19.2896080,-99.0000000,64.1691208,65.2386017,32.6393433,33.1833344,165,23.5981808,10.8393898,17.0369701,13.9589224,434.000000,407.000092,649.188843,442.756958,206.432388,1,
1,1,1,0,1,MZ,MZCER048,TOUCAN22,W1F123C434               ,MZ990002,WEATHERS,2025,US02126367,        +048.96,        -102.71,        0,2025001,2025135,2025151,2025214,2025300,2025300,2025,-99,7834,3357,3357,4521,4065,0.461515695,727,103.919846,0.428552687,2.18792009,-99.0000000,-99,-99,-99,-99,-99,0,0,506,885,220,665,444,2135,85,2,122,0,114,20,5,41,83,46,4.56286001,-99,-99,-99,-99,-99,-99,-99,-99,0,6255,6255,-99,-99,52692,52692,287.675781,5.68786812,18.9407978,11.9868870,35.5804443,-99.0000000,8.11653805,5.13663816,15.2469835,-99.0000000,64.2124100,68.7185364,27.5163937,29.4473686,165,23.5242462,10.7751513,17.3442364,13.9589224,434.000000,413.599976,653.540283,433.366699,220.174698,1,
1,1,1,0,1,MZ,MZCER048,TOUCAN26,W1F123C434               ,MZ990003,WEATHERS,2025,US02126368,        +048.96,        -102.62,        0,2025001,2025135,2025151,2025198,2025255,2025255,2025,-99,6588,2091,2091,4523,2688,0.222003534,942,134.552979,0.317374259,1.53523088,-99.0000000,-99,-99,-99,-99,-99,0,0,396,780,137,643,354,8266,484,2,122,0,88,11,29,39,71,33,4.66298914,-99,-99,-99,-99,-99,-99,-99,-99,0,16356,16356,-99,-99,123936,123936,291.906250,3.61060786,22.0568924,12.2661343,48.2309341,-99.0000000,7.00033522,3.89298034,15.3073549,-99.0000000,54.0032272,74.8681107,17.1393452,23.7613640,120,25.0408382,12.0441675,19.8291588,14.9956532,434.000000,298.699982,537.120605,401.395996,136.600998,1,
1,1,1,0,1,MZ,MZCER048,TOUCAN28,W1F123C434               ,MZ990002,WEATHERS,2025,US02126369,        +048.96,        -102.54,        0,2025001,2025135,2025151,2025214,2025300,2025300,2025,-99,8003,3471,3471,4576,4193,0.460999161,753,107.557770,0.433722824,2.21516705,-99.0000000,-99,-99,-99,-99,-99,0,0,506,884,222,662,444,2071,85,2,122,0,117,19,5,43,85,48,4.85811520,-99,-99,-99,-99,-99,-99,-99,-99,0,6575,6575,-99,-99,55348,55348,302.718750,5.98257589,19.3484955,12.2584782,36.0343704,-99.0000000,8.39216709,5.31696081,15.6294556,-99.0000000,65.5945663,68.3977509,28.4508190,29.6666660,165,23.5242462,10.7751513,17.3442364,13.9589224,434.000000,413.599976,652.816528,430.736786,222.080673,1,
1,1,1,0,1,MZ,MZCER048,TOUCAN45,W1F123C434               ,MZ990001,WEATHERS,2024,US02126385,        +048.96,        -101.21,        0,2024001,2024135,2024151,2024235,2024310,2024310,2024,-99,8243,1803,1803,6502,2748,0.239737257,752,107.463036,0.218776152,2.51940250,-99.0000000,-99,-99,-99,-99,-99,0,0,447,926,242,684,391,14193,382,2,122,0,125,27,30,103,93,21,9.80263233,-99,-99,-99,-99,-99,-99,-99,-99,0,29042,29042,-99,-99,220227,220227,921.296875,7.52432108,27.4222813,11.6552515,34.0527267,-99.0000000,5.99800205,2.54932189,7.44826174,-99.0000000,67.5667267,65.9451218,14.7786884,14.4239998,175,23.6982841,10.4799976,17.2919941,13.7092495,434.000000,300.600098,707.246887,465.177429,242.069901,32,
1,1,1,0,1,MZ,MZCER048,TOUCAN20,W1F123C434               ,MZ990002,WEATHERS,2023,US02126376,        +048.96,        -101.96,        0,2023001,2023135,2023145,2023206,2023275,2023275,2023,-99,8638,3698,3698,4980,4606,0.427548349,865,123.563904,0.428103298,1.99479413,-99.0000000,-99,-99,-99,-99,-99,0,0,352,830,235,595,297,12022,502,2,122,0,129,14,12,70,90,57,7.55084229,-99,-99,-99,-99,-99,-99,-99,-99,0,22817,22817,-99,-99,172771,172771,558.937500,7.56994486,47.5675125,13.6038475,36.6894302,-99.0000000,20.3634357,5.82374525,15.7065773,-99.0000000,70.8054123,66.9632645,30.3114758,28.6666660,140,26.5771408,13.3357162,19.0264244,14.5610962,434.000000,181.600006,634.986572,399.927429,235.442764,1,
1,1,1,0,1,MZ,MZCER048,TOUCAN19,W1F123C434               ,MZ990001,WEATHERS,2025,US02126380,        +048.96,        -101.62,        0,2025001,2025135,2025150,2025239,2025310,2025310,2025,-99,5801,875,875,4986,1555,0.168944210,518,73.9772797,0.150814593,1.79298806,-99.0000000,-99,-99,-99,-99,-99,0,0,456,913,225,687,408,13141,495,2,122,0,110,24,31,72,70,9,4.75037432,-99,-99,-99,-99,-99,-99,-99,-99,0,21650,21650,-99,-99,164357,164357,571.765625,5.95530319,15.7805023,8.74148083,25.7330112,-99.0000000,2.38030457,1.31855047,3.88152480,-99.0000000,47.5484657,52.7355690,7.17213106,7.95454550,175,22.9954243,10.3719988,16.4028549,13.7092495,434.000000,367.600006,663.607544,438.180786,225.426880,1,
1,1,1,0,1,MZ,MZCER048,TOUCAN43,W1F123C434               ,MZ990003,WEATHERS,2024,US02126384,        +048.96,        -101.29,        0,2024001,2024135,2024151,2024202,2024252,2024252,2024,-99,8660,4510,4510,4168,6491,0.236165985,1910,272.817566,0.520796657,1.16080892,-99.0000000,-99,-99,-99,-99,-99,0,0,411,801,152,649,358,10434,396,2,122,0,112,14,13,64,99,77,12.2623587,-99,-99,-99,-99,-99,-99,-99,-99,0,23485,23485,-99,-99,177794,177794,578.343750,3.97847891,32.7783127,14.9586411,56.8987274,-99.0000000,17.0703945,7.79020929,29.6319027,-99.0000000,70.9838791,77.3217239,36.9672127,40.2678566,117,25.4529896,12.4102554,20.3042698,15.0554733,434.000000,264.200104,578.931824,428.199524,152.200821,1,
1,1,1,0,1,MZ,MZCER048,TOUCAN42,W1F123C434               ,MZ990002,WEATHERS,2023,US02126379,        +048.96,        -101.71,        0,2023001,2023135,2023145,2023206,2023275,2023275,2023,-99,8592,3786,3786,4845,4721,0.431211382,878,125.441971,0.440670490,1.91468763,-99.0000000,-99,-99,-99,-99,-99,0,0,340,826,236,590,281,11616,494,2,122,0,129,13,11,68,90,57,7.72426844,-99,-99,-99,-99,-99,-99,-99,-99,0,22132,22132,-99,-99,167726,167726,549.187500,6.16121817,48.2451057,13.4920902,36.4239540,-99.0000000,21.2577209,5.94487429,16.0490952,-99.0000000,70.4299469,66.6081619,31.0327873,29.3488369,140,26.6078453,13.4692850,19.0264244,14.5610962,434.000000,178.099991,636.851135,401.332428,235.901154,1,
